workerid,assignmentid
194,32ZKVD547FN11F87HRL7R5B4OK8B3J
195,3X87C8JFV6BSP2VBQOJYU2EF208SQ4
196,35H6S234SA0Y9IEGZJSSVMNWOFO65J
197,34HJIJKLP5W1SPPHMMHQ2MXH5D0V4C
198,386CSBG1OZMN24XEJBGVTXINKBBQ6G
199,3ATTHHXXWAON4LTR7QKCK84LQ5TIXZ
200,3U4J9857OEBJ2Y9UJ3OX4MNKTMUB7O
201,3JBT3HLQF824Q2GAL3YHQQL8KJMPZF
202,32Z9ZLUT1LK0EH4F0HFV1JCDEO9OH7
203,30OG32W0SUB6CMD1917C1RFVWYCNEB
204,3FIUS151DV2YM8S6SSK5BARA825GGD
205,39N5ACM9HENPKBYXH54ID2JF5G4P96
206,37Z929RLG985HIN37SDTZ7P2M77TSJ
207,3K4J6M3CXETXCHF36SSVFOG7A7SGA1
208,3HMIGG0U4L6JFK7O30UNQXHGPFIY8D
209,3M1CVSFP605OP69H9OX792K9GU1AQQ
210,3ZAK8W07I4EKGMIGYVKJUX5LATW0UV
211,3C5W7UE9CFQ904JIS5I4C1B27EDMXJ
212,3QHK8ZVMIMIIHJYWNXP7NR5LO60BLY
213,3NC5L260MOMG0LD95RRVYY00Y9WFO0
214,3QJOXOW4XJR0U4S1X0SCOCQVR89MEH
215,3RXPCZQMQPB1IT23A9Z24NN46DMG1D
216,31QTRG6Q2TD4LC65PHWYCJC6EPIPYO
217,33UKMF9319K6WI0IWSIJ9CLOOQLTT8
218,3634BBTX0OU64Z267WEQE14EM0XFI5
219,3JAOYWH7VI4ZTQJZPDBBWLAV06WL9X
220,3R6BYFZZP7C3UUR16IERHBRTAD0XFM
221,3GLB5JMZFXVVAOIFQ2JX5PODVAPGD3
222,35K3O9HUABDUOU0KBDOZTM6MU7QEFV
223,3EJJQNKU9R53BUWVS9WZVEHIPBTHR9
224,32M8BPYGATMCIZY1IGK8WM4QNFXIG7
225,33SA9F9TRXUWZGMF12YZXASMPAGWEB
226,3Q5C1WP23M132WDJTDGB0QWFG4915H
227,3VHHR074H3HVF7V6AGDRIPJP5G9L7M
228,3IFS6Q0HJIJF847SDGEPL0NTBQRISR
229,3W92K5RLWUHJO8TH0R007E3V58F5V9
230,3H7XDTSHKCRUJUI67XONXDDY2QVWGS
231,3QL2OFSM96IRFOTNDA1HB3FSBMZNCI
232,3F1567XTNW5AKNZCHIJ7D79PACJQ9R
233,30X31N5D63Q02MOU1SMC42ZAYIMASF
234,3TPWUS5F891H2I215BS47MSJ4Y3WCI
